Date,neg,neu,pos,compound
2017-12-22,0.09264,0.73718,0.07927,-0.04485
2017-12-23,0.0214,0.7667,0.112,0.11933
2017-12-24,0.05386,0.747,0.05629,0.05321
2017-12-25,0.02873,0.79118,0.08918,0.07676
2017-12-26,0.0568,0.7688,0.0744,-0.08036
2017-12-27,0.04491,0.78655,0.07764,0.07156
2017-12-28,0.0808,0.7825,0.0366,-0.10848
2017-12-29,0.0,0.82464,0.08445,0.1158
2017-12-30,0.03282,0.78945,0.08673,0.11545
2017-12-31,0.09536,0.71973,0.094,-0.02616
2018-01-01,0.04033,0.82208,0.05425,0.0322
2018-01-01,0.04033,0.82208,0.05425,0.0322
2018-01-02,0.0575,0.7165,0.126,0.09857
2018-01-03,0.03267,0.7665,0.1175,0.10789
2018-01-04,0.03827,0.78973,0.08109,0.07214
2018-01-05,0.1529,0.6907,0.0565,-0.15224
2018-01-06,0.02412,0.83288,0.01812,-0.02529
2018-01-07,0.035,0.85218,0.02191,-0.00411
2018-01-08,0.08455,0.78236,0.04218,-0.00831
2018-01-09,0.11418,0.76364,0.03127,-0.13612
2018-01-10,0.08364,0.68964,0.13582,0.03572
2018-01-11,0.145,0.7417,0.0133,-0.25055
2018-01-12,0.02958,0.81933,0.06775,0.01088
2018-01-13,0.03409,0.83182,0.04318,0.06574
2018-01-14,0.09509,0.814,0.0,-0.1267
2018-01-15,0.10183,0.67808,0.13658,0.04859
2018-01-16,0.10427,0.78209,0.02273,-0.15044
2018-01-17,0.14173,0.75282,0.01455,-0.20659
2018-01-18,0.0947,0.7737,0.0317,-0.10108
2018-01-19,0.03558,0.81058,0.0705,0.01587
2018-01-20,0.15418,0.68391,0.071,-0.17214
2018-01-21,0.13491,0.69036,0.08391,-0.10462
2018-01-22,0.16708,0.72767,0.02192,-0.15057
2018-01-23,0.06591,0.78964,0.05355,-0.02904
2018-01-24,0.01127,0.82936,0.06845,0.09539
2018-01-25,0.04091,0.84245,0.02573,-0.01768
2018-01-26,0.15167,0.72558,0.03942,-0.18847
2018-01-27,0.18555,0.71291,0.01064,-0.29487
2018-01-28,0.14009,0.75682,0.01218,-0.22516
2018-01-29,0.0167,0.8666,0.0167,-0.0046
2018-01-30,0.106,0.79173,0.01136,-0.12885
2018-01-31,0.08055,0.80173,0.02682,-0.10157
2018-02-01,0.1115,0.7329,0.0555,-0.13915
2018-02-02,0.14364,0.736,0.02945,-0.20811
2018-02-03,0.07985,0.72623,0.117,0.05702
2018-02-04,0.0626,0.6718,0.0656,0.00512
2018-02-05,0.11627,0.71955,0.07327,-0.06625
2018-02-06,0.1359,0.7046,0.0595,-0.08927
2018-02-07,0.03109,0.72036,0.15764,0.18843
2018-02-08,0.0,0.7891,0.1109,0.16562
2018-02-09,0.06745,0.78436,0.05727,0.00415
2018-02-10,0.03083,0.77283,0.02967,-0.0043
2018-02-11,0.06383,0.77717,0.07567,0.00172
2018-02-12,0.03746,0.86131,0.02431,-0.03867
2018-02-13,0.0647,0.8048,0.0305,-0.06669
2018-02-14,0.0211,0.8403,0.0386,0.03736
2018-02-15,0.0,0.78825,0.12842,0.16259
2018-02-16,0.12055,0.73027,0.05827,-0.1001
2018-02-17,0.04757,0.71943,0.09014,0.05334
2018-02-18,0.17942,0.70733,0.02992,-0.22419
2018-02-19,0.06586,0.78457,0.07814,0.04338
2018-02-20,0.07309,0.78491,0.05109,-0.04149
2018-02-21,0.07125,0.76275,0.08258,0.00028
2018-02-22,0.06982,0.79164,0.04764,-0.02993
2018-02-23,0.06373,0.68791,0.15745,0.12627
2018-02-24,0.03518,0.83209,0.04182,0.01141
2018-02-25,0.048,0.8044,0.0476,-0.01016
2018-02-26,0.03242,0.83183,0.05242,0.03992
2018-02-27,0.12423,0.77554,0.02331,-0.05948
2018-02-28,0.10864,0.70527,0.09518,-0.00851
2018-03-01,0.04482,0.77045,0.09382,0.09301
2018-03-02,0.0449,0.8089,0.0462,0.0212
2018-03-03,0.11064,0.721,0.07736,-0.11529
2018-03-04,0.10133,0.70833,0.07922,-0.01743
2018-03-05,0.07027,0.72073,0.11809,0.07216
2018-03-06,0.14164,0.75291,0.01455,-0.19581
2018-03-07,0.07736,0.813,0.01873,-0.09284
2018-03-08,0.0808,0.7739,0.0453,-0.09867
2018-03-09,0.06727,0.83082,0.01109,-0.09945
2018-03-10,0.022,0.7708,0.1072,0.11777
2018-03-11,0.05556,0.74944,0.08378,0.00191
2018-03-12,0.1136,0.7046,0.0818,-0.0649
2018-03-13,0.09227,0.74236,0.07445,-0.00775
2018-03-14,0.02533,0.85575,0.03558,0.00633
2018-03-15,0.14309,0.67845,0.08745,-0.14925
2018-03-16,0.08091,0.73245,0.09582,0.03581
2018-03-17,0.05482,0.81091,0.04336,-0.01765
2018-03-18,0.11827,0.785,0.00582,-0.21308
2018-03-19,0.02883,0.83317,0.05467,0.01573
2018-03-20,0.0584,0.7896,0.0519,-0.01926
2018-03-21,0.1029,0.7484,0.0487,-0.0261
2018-03-22,0.05836,0.79527,0.05545,-0.04455
2018-03-23,0.01175,0.76892,0.136,0.12987
2018-03-24,0.015,0.80133,0.07256,0.07358
2018-03-25,0.0,0.66086,0.19629,0.2618
2018-03-26,0.09427,0.77,0.04482,-0.08118
2018-03-27,0.09627,0.69818,0.11464,0.02629
2018-03-28,0.10662,0.71854,0.021,-0.16347
2018-03-29,0.09391,0.777,0.03818,-0.11699
2018-03-30,0.1359,0.7286,0.0355,-0.16766
2018-03-31,0.05309,0.78545,0.07055,0.01488
2018-04-01,0.0537,0.8037,0.0426,-0.02231
2018-04-02,0.07436,0.79773,0.037,-0.07692
2018-04-03,0.16864,0.68464,0.05591,-0.15489
2018-04-04,0.08255,0.80618,0.02027,-0.10221
2018-04-05,0.1069,0.7574,0.0357,-0.11346
2018-04-06,0.1259,0.7421,0.032,-0.1046
2018-04-07,0.01975,0.85525,0.0,-0.016
2018-04-08,0.01533,0.7795,0.0385,0.03027
2018-04-09,0.03836,0.73127,0.13955,0.14567
2018-04-10,0.0863,0.7825,0.0312,-0.08166
2018-04-11,0.05064,0.81973,0.03873,0.01141
2018-04-12,0.04482,0.80273,0.06155,0.04128
2018-04-13,0.01227,0.86936,0.02745,0.02772
2018-04-14,0.03543,0.67443,0.14729,0.21713
2018-04-15,0.0,0.67325,0.07675,0.1806
2018-04-16,0.02943,0.89914,0.0,-0.04962
2018-04-17,0.08411,0.77989,0.02489,-0.12541
2018-04-18,0.1161,0.7608,0.0231,-0.18005
2018-04-19,0.08633,0.80308,0.02717,-0.13603
2018-04-20,0.12127,0.71682,0.071,-0.02636
2018-04-21,0.12273,0.72127,0.06491,-0.09305
2018-04-22,0.0,0.0,0.0,0.0
2018-04-23,0.07027,0.80818,0.03064,-0.06007
2018-04-24,0.0438,0.7603,0.0959,0.09608
2018-04-25,0.10045,0.70527,0.10327,0.0312
2018-04-26,0.03345,0.847,0.02864,0.00137
2018-04-27,0.05236,0.741,0.11573,0.10304
2018-04-28,0.05014,0.75229,0.05471,0.01069
2018-04-29,0.04018,0.78891,0.08,0.04845
2018-04-30,0.0,0.87936,0.02973,0.02718
2018-05-01,0.01818,0.81827,0.07264,0.10211
2018-05-02,0.01518,0.78809,0.10582,0.12675
2018-05-03,0.02291,0.83136,0.05482,0.00528
2018-05-04,0.03191,0.73918,0.138,0.12235
2018-05-05,0.04755,0.76336,0.09818,0.0599
2018-05-06,0.06587,0.74925,0.06,-0.0436
2018-05-07,0.01936,0.85109,0.03864,0.02773
2018-05-08,0.04164,0.73218,0.13527,0.15785
2018-05-09,0.0314,0.722,0.1465,0.19282
2018-05-10,0.076,0.7995,0.04117,-0.04459
2018-05-11,0.01742,0.87875,0.02042,0.00856
2018-05-12,0.07514,0.71486,0.06714,-0.03831
2018-05-13,0.05671,0.69429,0.10614,0.1273
2018-05-14,0.04318,0.791,0.07491,0.06997
2018-05-15,0.07633,0.81842,0.02192,-0.10531
2018-05-16,0.07945,0.74345,0.08609,0.00293
2018-05-17,0.04225,0.75058,0.12383,0.09153
2018-05-18,0.05045,0.70727,0.15136,0.16123
2018-05-19,0.0286,0.8436,0.0278,-0.02105
2018-05-20,0.06027,0.80873,0.04009,-0.03873
2018-05-21,0.04973,0.79636,0.063,0.00539
2018-05-22,0.13027,0.70845,0.07045,-0.08863
2018-05-23,0.11956,0.71611,0.05333,-0.08292
2018-05-24,0.11727,0.66482,0.127,-0.02272
2018-05-25,0.03167,0.70444,0.15278,0.16009
2018-05-26,0.05744,0.77844,0.053,0.00261
2018-05-27,0.08327,0.75764,0.06818,-0.02406
2018-05-28,0.04964,0.83655,0.02291,-0.0341
2018-05-29,0.05509,0.82409,0.03,-0.05977
2018-05-30,0.05927,0.81,0.03982,-0.01938
