DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EE,2023,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EE,2024,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2013,221.65,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2014,245.71,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2015,319.57,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2016,271.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2017,279.95,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2018,252.37,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2019,275.80,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2020,336.01,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2021,234.89,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EL,2022,262.88,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2013,483.71,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2014,434.81,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2015,540.48,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2016,511.12,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2017,505.05,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2018,555.03,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2019,323.02,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2020,387.13,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2021,573.67,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,ES,2022,262.28,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EU27_2020,2013,814.31,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EU27_2020,2014,761.99,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EU27_2020,2020,826.43,
